Name,DeplState,InciState,ToolsType,SerialNumber,Object,Notes
Трубогиб,In Use,Operational,Трубогиб,,УКТМК,
Сварочный аппарат,In Use,Operational,Сварочный аппарат,,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.23 Сумка с инструментом  Рулетка 8 м  Бокорезы (на складе с 28.02.24) Круглогбуцы (на складе с 28.02.24)
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.23 Круглогубцы
Сварочный аппарат,In Use,Operational,Сварочный аппарат,,,склад г Астана
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Сумка для инструмента (сдал на склад 28.02.24) Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников 28.02.24 Сумка для инструмента
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,"02.05.2023 -Сумка для инструмента Набор головок -Набор отверток Набор рожковых ключей Рулетка 8 м -Молоток  Уровень (со склада) Разводной ключ -Нож Плоскогубцы -Бокорезы -Круглогубцы -Набор шестигранников   31.01.24 Сдал: Сумка для инструмента, Набор отверток, Молоток, Нож, Бокорезы, Круглогубцы, Набор шестигранников"
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Рулетка 8 м
Кабелерез,In Use,Operational,Кабелерез,,,02.05.23
Кабелерез,In Use,Operational,Кабелерез,,,02.05.23
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Набор отверток Рулетка 8 м
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Набор отверток
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Сумка для инструмента Набор отверток Молоток Плоскогубцы Бокорезы Круглогубцы Газовый ключ
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Сумка для инструмента Набор головок(со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ (со склада) Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,02.05.2023 Сумка для инструмента Набор головок (со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы - замена 22.04.24 Круглогубцы Набор шестигранников (со склада)
Мини-мойка / пароочиститель,In Use,Operational,Мини-мойка / пароочиститель,,,
Штроборез (07W32 00720),In Use,Operational,Штроборез,07W32 00720,,
Пчелка (00001),In Use,Operational,Пчелка,00001,,
Пчелка (00002),In Use,Operational,Пчелка,00002,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,
Болгарка (17-033/2/0237),In Use,Operational,Болгарка,17-033/2/0237,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,19.05.2023
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,19.05.2023
Шуруповерт (W12G6PD),In Use,Operational,Шуруповерт,W12G6PD,,
Шуруповерт (W12GGC5),In Use,Operational,Шуруповерт,W12GGC5,,
Шуруповерт (W12G6N5),In Use,Operational,Шуруповерт,W12G6N5,,
Удлинитель (???),In Use,Operational,Удлинитель,???,,
