class,name,cur_status,data_json
"Approvals","","Inactive","[null,{""Version"":[null,{""Owner"":[null,{""Content"":""1694"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""EndDate"":[null,{""Content"":""2021-02-07"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""20""}],""Type"":[null,{""Content"":""144"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""145""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""20""}],""EndDate"":[null,{""Content"":""2021-01-17"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1694"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""199""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1691"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""EndDate"":[null,{""Content"":""2027-04-24"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""Content"":""146"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""EndDate"":[null,{""Content"":""2024-09-01"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Owner"":[null,{""Content"":""1691"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""TagKey"":""[1]"",""Version"":[null,{""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Type"":[null,{""Content"":""144"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""EndDate"":[null,{""Content"":""2027-04-02"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""Content"":""1691"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}]}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""EndDate"":[null,{""Content"":""2024-09-01"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1691""}],""TagKey"":""[1]{'Version'}[1]"",""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""145""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Inactive","[null,{""TagKey"":""[1]"",""Version"":[null,{""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""143""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""EndDate"":[null,{""Content"":""2024-01-06"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1691""}],""TagKey"":""[1]{'Version'}[1]""}]}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Type"":[null,{""TagKey"":""[1]{'Version'}[1]{'Type'}[1]"",""Content"":""199""}],""Responsible"":[null,{""Content"":""55"",""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]""}],""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2027-04-27""}],""Group"":[null,{""TagKey"":""[1]{'Version'}[1]{'Group'}[1]"",""Content"":""3""}],""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1695""}],""TagKey"":""[1]{'Version'}[1]""}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""Type"":[null,{""Content"":""146"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""55""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Owner"":[null,{""Content"":""1695"",""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]""}],""TagKey"":""[1]{'Version'}[1]"",""EndDate"":[null,{""Content"":""2024-09-01"",""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]""}]}],""TagKey"":""[1]""}]"
"Approvals","","Approvals::разрешено","[null,{""Version"":[null,{""EndDate"":[null,{""TagKey"":""[1]{'Version'}[1]{'EndDate'}[1]"",""Content"":""2024-09-14""}],""TagKey"":""[1]{'Version'}[1]"",""Owner"":[null,{""TagKey"":""[1]{'Version'}[1]{'Owner'}[1]"",""Content"":""1695""}],""Group"":[null,{""Content"":""3"",""TagKey"":""[1]{'Version'}[1]{'Group'}[1]""}],""Responsible"":[null,{""TagKey"":""[1]{'Version'}[1]{'Responsible'}[1]"",""Content"":""20""}],""Type"":[null,{""Content"":""144"",""TagKey"":""[1]{'Version'}[1]{'Type'}[1]""}]}],""TagKey"":""[1]""}]"
