Name;DeplState;InciState;ToolsType;SerialNumber;Vladelec;Vendor;Object;Notes
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1977;;;02.05.2023 Рулетка 8 м
Кабелерез;Maintenance;Ok;Кабелерез;;1975;;;02.05.23
Кабелерез;Maintenance;Ok;Кабелерез;;1982;;;02.05.23
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1978;;;02.05.2023 Набор отверток Рулетка 8 м
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1982;;;02.05.2023 Набор отверток
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1983;;;02.05.2023 Сумка для инструмента Набор отверток Молоток Плоскогубцы Бокорезы Круглогубцы Газовый ключ
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1980;;;02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;2905;;;02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;3757;;;02.05.2023 Сумка для инструмента Набор головок(со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ (со склада) Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;3694;;;02.05.2023 Сумка для инструмента Набор головок (со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы - замена 22.04.24 Круглогубцы Набор шестигранников (со склада)
Мини-мойка / пароочиститель;Maintenance;Ok;Мини-мойка / пароочиститель;;2695;3095;;
Штроборез (07W32 00720);СКЛАД;Ok;Штроборез;07W32 00720;;;;
Пчелка (00001);СКЛАД;Ok;Пчелка;00001;;1856;;
Пчелка (00002);СКЛАД;Ok;Пчелка;00002;;1856;;
Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;;;;
Болгарка (17-033/2/0237);СКЛАД;Ok;Болгарка;17-033/2/0237;;;;
Гидравлический / ручной пресс;Maintenance;Ok;Гидравлический / ручной пресс;;2695;;;19.05.2023
Гидравлический / ручной пресс;Maintenance;Ok;Гидравлический / ручной пресс;;2695;;;19.05.2023
Шуруповерт (W12G6PD);Production;Ok;Шуруповерт;W12G6PD;;3595;;
Шуруповерт (W12GGC5);СКЛАД;Ok;Шуруповерт;W12GGC5;;3595;;
Шуруповерт (W12G6N5);Production;Ok;Шуруповерт;W12G6N5;;3595;;
Удлинитель (???);Maintenance;Ok;Удлинитель;???;3677;;;
Удлинитель;Production;Ok;Удлинитель;;;;;
Удлинитель;Production;Ok;Удлинитель;;;;;
Удлинитель;Production;Ok;Удлинитель;;;;;
Удлинитель;СКЛАД;Ok;Удлинитель;;;;;
Кабелерез;СКЛАД;Ok;Кабелерез;;;;;
Удлинитель;СКЛАД;Ok;Удлинитель;;;;;3*1,5 25 м
Удлинитель;Production;Ok;Удлинитель;;;;;3*1,5 25 м
Сварочный аппарат;Production;Ok;Сварочный аппарат;;;;;
Сварочный аппарат;СКЛАД;Ok;Сварочный аппарат;;;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1976;;;28.07.23 Сумка для инструментов STST1-73615 Stanley											 Набор инструментов 23110 Proxxon											 Набор отверток 0-65-009 Stanley											 Набор ключей 23800 Proxxon											 Рулетка 0-30-457 Stanley											 Молоток YT-4563 YATO																					 Ключ разводной YT-21651 YATO											 Нож 0-10-088 Stanley											 Плоскогубцы STHT0-74456 Stanley																						 Бокорезы YT-20433 YATO
Кабелерез;Maintenance;Ok;Кабелерез;;1976;;;
Стремянка / Рамные леса;СКЛАД;Ok;Стремянка / Рамные леса;;;;UIB;
Стремянка / Рамные леса;СКЛАД;Ok;Стремянка / Рамные леса;;;;;
Маркиратор (PGM2102212003408);СКЛАД;Ok;Маркиратор;PGM2102212003408;;1890;;
Стремянка / Рамные леса;СКЛАД;Ok;Стремянка / Рамные леса;;;;;
Болгарка (000002);СКЛАД;Ok;Болгарка;000002;;3595;;
Пылесос промышленный;СКЛАД;Ok;Пылесос промышленный;;;3095;;KFI 357 6.959-130.0  - мешки
Пылесос промышленный;Production;Ok;Пылесос промышленный;;;3095;;
Перфоратор (000076);СКЛАД;Ok;Перфоратор;000076;;3595;;Требуется смазка
Пчелка (420490);Production;Ok;Пчелка;420490;;2516;;
Кабелерез;СКЛАД;Ok;Кабелерез;;;4343;;
Манифолд;Maintenance;Ok;Манифолд;;2184;3839;;
Гидравлический / ручной пресс;СКЛАД;Ok;Гидравлический / ручной пресс;;;;;
Манифолд;Maintenance;Ok;Манифолд;;3458;3839;;
Гидравлический / ручной пресс;СКЛАД;Ok;Гидравлический / ручной пресс;;;;;
Болгарка;Maintenance;Ok;Болгарка;;2695;1856;;
Перфоратор (0 611 272 100);Maintenance;Ok;Перфоратор;0 611 272 100;3458;1856;;
Гидравлический / ручной пресс (2206);Maintenance;Ok;Гидравлический / ручной пресс;2206;3677;;;
Перфоратор (020808190);Maintenance;Ok;Перфоратор;020808190;3677;4371;;
Гидравлический / ручной пресс;Maintenance;Ok;Гидравлический / ручной пресс;;3677;;;
Пила;СКЛАД;Ok;Пила;;;1856;;
Присоски;СКЛАД;Ok;Присоски;;;;;
Присоски;СКЛАД;Ok;Присоски;;;;;
Присоски;СКЛАД;Ok;Присоски;;;;;
Пчелка (170341G);СКЛАД;Ok;Пчелка;170341G;;2516;;
Сварочный аппарат (8070152);СКЛАД;Ok;Сварочный аппарат;8070152;;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;4243;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1944;;;28.02.24 Бокорезы Круглогубцы
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1691;;;28.02.24 Сумка для инструментов Молоток
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;2027;;;28.02.24 Сумка с инструментом 22.04.24 Бокорезы
